id,name,proper,bf,ra,dec,mag,ci,dist,x,y,z,spect,con
61723,,,,12.68972300,-46.14558100,5.840,1.475,277.777800,-189.323473,-34.562168,-200.306316,K3II,Cen
61739,Gam Cen,,Gam Cen,12.69197100,-48.95988800,2.200,-0.023,39.904200,-25.771821,-4.720403,-30.097707,A1IV,Cen
61748,Porrima,Porrima,29Gam Vir,12.69434500,-1.44937500,2.740,0.368,11.685000,-11.488622,-2.111702,-0.295552,F0V+...,Vir
61767,30Rho Vir,,30Rho Vir,12.69807100,10.23562500,4.880,0.076,36.271300,-35.099650,-6.487005,6.445292,A0V,Vir
61773,,,,12.69905100,-59.68581900,4.910,-0.044,293.255100,-145.546170,-26.937819,-253.158623,B6IV,Cru
61775,31    Vir,,31    Vir,12.69919900,6.80661700,5.570,0.002,71.530800,-69.840037,-12.928943,8.477738,A2V,Vir
61819,,,,12.70985800,-48.81310900,4.660,1.075,58.445400,-37.824555,-7.111282,-43.983916,K0III,Cen
61834,,,,12.71396500,-63.05862400,5.270,0.195,373.134300,-166.114664,-31.416038,-332.638528,B2pe,Cru
61865,,,,12.71922100,-56.17622400,5.990,-0.074,117.096000,-64.028394,-12.200458,-97.277993,B9Vn,Cru
61910,,,,12.72723600,-1.57699600,5.910,0.850,66.979200,-65.744018,-12.670468,-1.843288,G8IIIp,Vir
61938,,,,12.73348100,-28.32395700,5.460,1.346,126.422300,-109.241483,-21.238768,-59.981889,K3III,Hya
62014,10    CVn,,10    CVn,12.74985200,39.27891600,5.950,0.557,17.376200,-13.192666,-2.623591,11.001261,G0V,CVn
62030,La Superba,La Superba,,12.75217400,45.44025600,5.420,2.994,320.512800,-220.542536,-43.999150,228.371602,C7Iab,CVn
62074,32    Vir,,32    Vir,12.76029400,7.67332600,5.220,0.322,77.459300,-75.249946,-15.179075,10.342728,A8m,Vir
62075,Iot Cru,,Iot Cru,12.76055000,-60.98131800,4.690,1.049,36.805300,-17.501322,-3.531603,-32.184876,K1III,Cru
62127,Bet Mus,,Bet Mus,12.77134600,-68.10811900,3.040,-0.178,104.712000,-38.249334,-7.830610,-97.161472,B2V,Mus
62130,33    Vir,,33    Vir,12.77292800,9.53968400,5.650,0.989,45.146700,-43.614408,-8.947941,7.482271,K1III-IV,Vir
